[2024-10-29T18:09:47.583271+00:00] Logger.ERROR: Error, columna 4 [] []
[2024-10-29T18:09:48.683048+00:00] Logger.ERROR: Error, columna 4 [] []
[2024-10-29T18:09:48.985406+00:00] Logger.ERROR: Error, columna 4 [] []
[2024-10-29T18:09:49.495485+00:00] Logger.ERROR: Error, columna 4 [] []
[2024-10-29T18:09:49.902495+00:00] Logger.ERROR: Error, columna 4 [] []
[2024-10-29T18:09:50.186578+00:00] Logger.ERROR: Error, columna 4 [] []
[2024-10-29T18:09:50.427585+00:00] Logger.ERROR: Error, columna 4 [] []
[2024-10-29T18:09:50.776171+00:00] Logger.ERROR: Error, columna 4 [] []
[2024-10-29T18:09:51.171001+00:00] Logger.ERROR: Error, columna 4 [] []
[2024-10-29T18:09:51.422217+00:00] Logger.ERROR: Error, columna 4 [] []
[2024-10-29T18:09:51.682696+00:00] Logger.ERROR: Error, columna 4 [] []
[2024-10-29T18:09:52.181237+00:00] Logger.ERROR: Error, columna 4 [] []
[2024-10-29T18:09:52.246466+00:00] Logger.ERROR: Error, columna 4 [] []
[2024-10-29T18:09:52.445009+00:00] Logger.ERROR: Error, columna 4 [] []
[2024-10-29T18:09:52.695568+00:00] Logger.ERROR: Error, columna 4 [] []
[2024-10-29T18:09:53.160620+00:00] Logger.ERROR: Error, columna 4 [] []
[2024-10-29T18:09:53.350422+00:00] Logger.ERROR: Error, columna 4 [] []
[2024-10-29T18:09:53.713590+00:00] Logger.ERROR: Error, columna 4 [] []
[2024-10-29T18:09:53.906161+00:00] Logger.ERROR: Error, columna 4 [] []
[2024-10-29T18:09:56.379367+00:00] Logger.ERROR: Error, columna 4 [] []
[2024-10-29T18:09:57.152242+00:00] Logger.ERROR: Error, columna 4 [] []
[2024-10-29T18:09:59.742627+00:00] Logger.ERROR: Error, columna 4 [] []
[2024-10-29T18:10:00.097502+00:00] Logger.ERROR: Error, columna 4 [] []
[2024-10-29T18:10:00.318918+00:00] Logger.ERROR: Error, columna 4 [] []
[2024-10-29T18:10:00.454904+00:00] Logger.ERROR: Error, columna 4 [] []
[2024-10-29T18:10:00.785524+00:00] Logger.ERROR: Error, columna 4 [] []
[2024-10-29T18:10:01.071538+00:00] Logger.ERROR: Error, columna 4 [] []
[2024-10-29T18:10:01.218414+00:00] Logger.ERROR: Error, columna 4 [] []
[2024-10-29T18:11:16.654655+00:00] Logger.ERROR: Error, columna 4 [] []
[2024-10-29T18:11:21.202763+00:00] Logger.ERROR: Error, columna 4 [] []
[2024-10-29T18:11:21.415708+00:00] Logger.ERROR: Error, columna 4 [] []
[2024-10-29T18:11:21.748870+00:00] Logger.ERROR: Error, columna 4 [] []
[2024-10-29T18:11:21.954757+00:00] Logger.ERROR: Error, columna 4 [] []
[2024-10-29T18:11:22.152992+00:00] Logger.ERROR: Error, columna 4 [] []
[2024-10-29T18:11:22.499280+00:00] Logger.ERROR: Error, columna 4 [] []
[2024-10-29T18:11:22.911964+00:00] Logger.ERROR: Error, columna 4 [] []
[2024-10-29T18:11:23.151057+00:00] Logger.ERROR: Error, columna 4 [] []
[2024-10-29T18:11:23.390044+00:00] Logger.ERROR: Error, columna 4 [] []
[2024-10-29T18:11:23.645816+00:00] Logger.ERROR: Error, columna 4 [] []
[2024-10-29T18:11:23.909119+00:00] Logger.ERROR: Error, columna 4 [] []
[2024-10-29T18:11:24.146587+00:00] Logger.ERROR: Error, columna 4 [] []
[2024-10-29T18:11:24.356005+00:00] Logger.ERROR: Error, columna 4 [] []
[2024-10-29T18:11:24.542208+00:00] Logger.ERROR: Error, columna 4 [] []
[2024-10-29T18:11:25.601095+00:00] Logger.ERROR: Error, columna 4 [] []
[2024-10-29T18:11:26.291303+00:00] Logger.ERROR: Error, columna 4 [] []
[2024-10-29T18:30:00.335877+00:00] Logger.ERROR: Error, columna 5 [] []
[2024-10-29T18:30:00.509084+00:00] Logger.ERROR: Error, columna 5 [] []
[2024-10-29T18:30:00.903893+00:00] Logger.ERROR: Error, columna 5 [] []
[2024-10-29T18:30:01.220015+00:00] Logger.ERROR: Error, columna 5 [] []
[2024-10-31T12:25:07.896506+00:00] Logger.ERROR: Error, columna 3 [] []
[2024-10-31T12:25:08.275749+00:00] Logger.ERROR: Error, columna 3 [] []
[2024-10-31T12:25:08.635673+00:00] Logger.ERROR: Error, columna 3 [] []
[2024-10-31T12:25:08.991493+00:00] Logger.ERROR: Error, columna 3 [] []
[2024-10-31T12:25:09.343029+00:00] Logger.ERROR: Error, columna 3 [] []
[2024-10-31T12:25:09.722781+00:00] Logger.ERROR: Error, columna 3 [] []
[2024-10-31T12:25:10.036490+00:00] Logger.ERROR: Error, columna 3 [] []
[2024-10-31T12:25:10.378008+00:00] Logger.ERROR: Error, columna 3 [] []
[2024-10-31T12:25:10.736561+00:00] Logger.ERROR: Error, columna 3 [] []
[2024-10-31T12:25:11.095366+00:00] Logger.ERROR: Error, columna 3 [] []
[2024-10-31T12:25:11.468096+00:00] Logger.ERROR: Error, columna 3 [] []
[2024-10-31T12:25:16.695550+00:00] Logger.ERROR: Error, columna 4 [] []
[2024-10-31T12:32:45.546143+00:00] Logger.ERROR: Error, columna 4 [] []
[2024-10-31T12:37:33.183755+00:00] Logger.ERROR: Error, columna 4 [] []
[2024-10-31T12:38:52.403031+00:00] Logger.ERROR: Error, columna 4 [] []
[2024-10-31T12:39:50.133206+00:00] Logger.ERROR: Error, columna 4 [] []
[2024-10-31T12:39:50.627344+00:00] Logger.ERROR: Error, columna 4 [] []
[2024-10-31T12:59:39.979657+00:00] Logger.ERROR: Error, columna 5 [] []
